user,salary
User1,2669
User2,3247
User3,3644
User4,1086
User5,1264
User6,3962
User7,2686
User8,2712
User9,1752
User10,1065
User11,1492
User12,1665
User13,3640
User14,3318
User15,1153
User16,1224
User17,1562
User18,2416
User19,3170
User20,3507
User21,2238
User22,1056
User23,3832
User24,3283
User25,3897
User26,1587
User27,2564
User28,1020
User29,3857
User30,3343
User31,3725
User32,3048
User33,3731
User34,1876
User35,2713
User36,3545
User37,1559
User38,3346
User39,3648
User40,2361
User41,2363
User42,3819
User43,1702
User44,3988
User45,2133
User46,3157
User47,1922
User48,1792
User49,2248
User50,1326
User51,2391
User52,1749
User53,3762
User54,3578
User55,2162
User56,3318
User57,3464
User58,1048
User59,3319
User60,2063
User61,1101
User62,1907
User63,1120
User64,1894
User65,2648
User66,1711
User67,2859
User68,1476
User69,3964
User70,2480
User71,3399
User72,2393
User73,1232
User74,1085
User75,2179
User76,1502
User77,3839
User78,2785
User79,3316
User80,3901
User81,3143
User82,2441
User83,3786
User84,2880
User85,1143
User86,2226
User87,3355
User88,3481
User89,3312
User90,3537
User91,2182
User92,3253
User93,2571
User94,2230
User95,3613
User96,1523
User97,2221
User98,3644
User99,3101
User100,1422
User101,3414
User102,3760
User103,1558
User104,1702
User105,1442
User106,1431
User107,1944
User108,2214
User109,2929
User110,1272
User111,1969
User112,3556
User113,3458
User114,1334
User115,3037
User116,1798
User117,2694
User118,1872
User119,3408
User120,2579
User121,1400
User122,1059
User123,2804
User124,2268
User125,2943
User126,2100
User127,1175
User128,1376
User129,1291
User130,2405
User131,2774
User132,3960
User133,3764
User134,2750
User135,3347
User136,3311
User137,3884
User138,3820
User139,2265
User140,3566
User141,3461
User142,1699
User143,2828
User144,1981
User145,2143
User146,1302
User147,1309
User148,3442
User149,3386
User150,1899
User151,2908
User152,2878
User153,2338
User154,1234
User155,2797
User156,1405
User157,1115
User158,3553
User159,1920
User160,2644
User161,2937
User162,2632
User163,1714
User164,3143
User165,1516
User166,3931
User167,2732
User168,3926
User169,1996
User170,3203
User171,1823
User172,1111
User173,1284
User174,2128
User175,1623
User176,3272
User177,1227
User178,3253
User179,2306
User180,1947
User181,2829
User182,3487
User183,2045
User184,1942
User185,1199
User186,3390
User187,3414
User188,3703
User189,2797
User190,2698
User191,2692
User192,2670
User193,2237
User194,1209
User195,3155
User196,2690
User197,3592
User198,2581
User199,1765
User200,3123
User201,3712
User202,3525
User203,1487
User204,1738
User205,3720
User206,3225
User207,1960
User208,3265
User209,2883
User210,1870
User211,3435
User212,3023
User213,1404
User214,2947
User215,3269
User216,2906
User217,1091
User218,2844
User219,2147
User220,1798
User221,2338
User222,1791
User223,1360
User224,3989
User225,1217
User226,2591
User227,2449
User228,1573
User229,2663
User230,1036
User231,2849
User232,1127
User233,3960
User234,1497
User235,2774
User236,3152
User237,2454
User238,1883
User239,3616
User240,3682
User241,1234
User242,2097
User243,1142
User244,1659
User245,3105
User246,2629
User247,3894
User248,2962
User249,2769
User250,2758
User251,3379
User252,1722
User253,1483
User254,1557
User255,1309
User256,3867
User257,1653
User258,3221
User259,3119
User260,3026
User261,3011
User262,3660
User263,3839
User264,1333
User265,2502
User266,2956
User267,2765
User268,1360
User269,2870
User270,3833
User271,1149
User272,2505
User273,2167
User274,2309
User275,2527
User276,2802
User277,1371
User278,1775
User279,3358
User280,2678
User281,1398
User282,1168
User283,1002
User284,1978
User285,2600
User286,2782
User287,2413
User288,2867
User289,2026
User290,1644
User291,3604
User292,3975
User293,2469
User294,1873
User295,2518
User296,1340
User297,2045
User298,3407
User299,1288
User300,1508
User301,3268
User302,2810
User303,3368
User304,1931
User305,2140
User306,3720
User307,2803
User308,2723
User309,2758
User310,2810
User311,1120
User312,1241
User313,1355
User314,3721
User315,1520
User316,2942
User317,1595
User318,3866
User319,1825
User320,3657
User321,2131
User322,1730
User323,1316
User324,1902
User325,3159
User326,3443
User327,3472
User328,3978
User329,3052
User330,1261
User331,3237
User332,1762
User333,3342
User334,3247
User335,2257
User336,1880
User337,1453
User338,2828
User339,1168
User340,1824
User341,2636
User342,3704
User343,1335
User344,2865
User345,3910
User346,1220
User347,2405
User348,3328
User349,1972
User350,3987
User351,2106
User352,1279
User353,2218
User354,2049
User355,2978
User356,3530
User357,3960
User358,3136
User359,1004
User360,3550
User361,1972
User362,1352
User363,3621
User364,2871
User365,3528
User366,2356
User367,3449
User368,2224
User369,1188
User370,3137
User371,2891
User372,2281
User373,2216
User374,1544
User375,2533
User376,3253
User377,1986
User378,3115
User379,1888
User380,1656
User381,3488
User382,3150
User383,1561
User384,3447
User385,2970
User386,1289
User387,3571
User388,1808
User389,3377
User390,1781
User391,2124
User392,3275
User393,2186
User394,3164
User395,3927
User396,1267
User397,3058
User398,3654
User399,1342
User400,1315
User401,1360
User402,1841
User403,2290
User404,1731
User405,3459
User406,1090
User407,3581
User408,3347
User409,2132
User410,2921
User411,1487
User412,1606
User413,2687
User414,1997
User415,1846
User416,2512
User417,1941
User418,2081
User419,3636
User420,1649
User421,3054
User422,3240
User423,1360
User424,3015
User425,1935
User426,3299
User427,2786
User428,1505
User429,1408
User430,3148
User431,2287
User432,3199
User433,3417
User434,2043
User435,1950
User436,2516
User437,1652
User438,2382
User439,1852
User440,3254
User441,2639
User442,1026
User443,3364
User444,3126
User445,2676
User446,3754
User447,2047
User448,1450
User449,1804
User450,3217
User451,1636
User452,1576
User453,2064
User454,3027
User455,1498
User456,1579
User457,2672
User458,3110
User459,2933
User460,2459
User461,1215
User462,3779
User463,1901
User464,3184
User465,3675
User466,2457
User467,1435
User468,2244
User469,2265
User470,2065
User471,2945
User472,1352
User473,2696
User474,1152
User475,1698
User476,1398
User477,2488
User478,1558
User479,3004
User480,1644
User481,3314
User482,2991
User483,1529
User484,1759
User485,2765
User486,1499
User487,2539
User488,2122
User489,2231
User490,2735
User491,1882
User492,2487
User493,3321
User494,2273
User495,1290
User496,3156
User497,3576
User498,3979
User499,2927
User500,2719
User501,2342
User502,1643
User503,3590
User504,3825
User505,3320
User506,3149
User507,2665
User508,3342
User509,3904
User510,3832
User511,1322
User512,1458
User513,2016
User514,1528
User515,3586
User516,1483
User517,1152
User518,3776
User519,1789
User520,1971
User521,2326
User522,2132
User523,1742
User524,2073
User525,1448
User526,2699
User527,2508
User528,1429
User529,2034
User530,2291
User531,1091
User532,2913
User533,1887
User534,2441
User535,3423
User536,3137
User537,1296
User538,3493
User539,1044
User540,2193
User541,3901
User542,3815
User543,1625
User544,2693
User545,1830
User546,3230
User547,2655
User548,2025
User549,1297
User550,2155
User551,3191
User552,3875
User553,2672
User554,1858
User555,2021
User556,1823
User557,1855
User558,2511
User559,2645
User560,1815
User561,1764
User562,3271
User563,3215
User564,2007
User565,2256
User566,3459
User567,2245
User568,3357
User569,3584
User570,3302
User571,3587
User572,3492
User573,3598
User574,2871
User575,3000
User576,3926
User577,2628
User578,1581
User579,3662
User580,2146
User581,1926
User582,3144
User583,2158
User584,1602
User585,1488
User586,1041
User587,1331
User588,1413
User589,2510
User590,1524
User591,2486
User592,3292
User593,3239
User594,3379
User595,3769
User596,3160
User597,2694
User598,3212
User599,3361
User600,2499
User601,2438
User602,2969
User603,1654
User604,3293
User605,1124
User606,1977
User607,1337
User608,1403
User609,3676
User610,1233
User611,3878
User612,2554
User613,1787
User614,2315
User615,2441
User616,2860
User617,3631
User618,3698
User619,1168
User620,3393
User621,1217
User622,2272
User623,3089
User624,3746
User625,1197
User626,2955
User627,3939
User628,3909
User629,3128
User630,2510
User631,3193
User632,3911
User633,2535
User634,1490
User635,3944
User636,2100
User637,1062
User638,2548
User639,1332
User640,3486
